Filter Status	Cohort Minor Allele Frequency Bins	number_of_samples_evaluated	dosage_correlation_mean	dosage_correlation_std	dosage_correlation_min	dosage_correlation_25%	dosage_correlation_50%	dosage_correlation_75%	dosage_correlation_max
Post-filtered	(0.0, 0.005]	215.0	0.9394135356107974	0.02008749693885672	0.872525702750327	0.928280690058341	0.9405859128119167	0.952439258203496	0.9834994654528507
Post-filtered	(0.005, 0.01]	215.0	0.9358382169262626	0.019657491632736473	0.8413090755050705	0.9239682047339435	0.9371115698131163	0.9473644521917945	0.9765171142820976
Post-filtered	(0.01, 0.02]	215.0	0.9386950577387934	0.013299167033961787	0.8960255878673957	0.9305678873612492	0.939810472832377	0.9478924690582695	0.9688449506897356
Post-filtered	(0.02, 0.05]	215.0	0.9378088163861614	0.009704569819993313	0.9022511470509698	0.9311151563927009	0.9386077359251954	0.9448516504887972	0.9593455300678236
Post-filtered	(0.05, 0.1]	215.0	0.943142219531415	0.0077501456156674935	0.9209513173125701	0.9389521061975925	0.9435959285019512	0.9482676063446205	0.9601505297871841
Post-filtered	(0.1, 0.15]	215.0	0.9472547438032312	0.007881203349203746	0.9202363939525554	0.9423250794556988	0.9485036390730306	0.9526288672074492	0.9667206521103551
Post-filtered	(0.15, 0.2]	215.0	0.9471211101817657	0.008409341460786247	0.9143867039256292	0.9417071281144307	0.9476679853111629	0.9526581394642282	0.967077871087606
Post-filtered	(0.2, 0.25]	215.0	0.9448998375483183	0.009006981457396038	0.9100294662984169	0.9393385833474657	0.9453144097388039	0.9511460515194685	0.9664656705127983
Post-filtered	(0.25, 0.3]	215.0	0.9456683747283026	0.010078210728719396	0.8982799135704335	0.9406419952134177	0.9471535307179538	0.9528132187880256	0.9636621848833883
Post-filtered	(0.3, 0.35]	215.0	0.9450438232100975	0.010379385831207026	0.8992461192132701	0.9392365458179557	0.9464155265271466	0.952345498225456	0.9688428023033747
Post-filtered	(0.35, 0.4]	215.0	0.9447300250308239	0.010357561149904772	0.9114016729344271	0.9388892511823745	0.946061568229445	0.9522294548095036	0.9649399786503768
Post-filtered	(0.4, 0.45]	215.0	0.9429411235814575	0.011566028150817087	0.9004246430962152	0.9366629521729237	0.9449995994627253	0.9496925213137548	0.9636548364500379
Post-filtered	(0.45, 0.5]	215.0	0.943124551894842	0.011410054611703559	0.8937719151827789	0.9370139879122802	0.9440527352405057	0.9513432173779237	0.9659711744281287
Pre-filtered	(0.0, 0.005]	215.0	0.6830027068759583	0.059033469123555775	0.4771110335089103	0.6481223772118833	0.6743431239084813	0.7087662984468864	0.836866135100692
Pre-filtered	(0.005, 0.01]	215.0	0.6674853050755095	0.04833202906693507	0.5005193858349931	0.6388285938182736	0.6659066154689228	0.6937019444385774	0.7755773611226418
Pre-filtered	(0.01, 0.02]	215.0	0.7100026042143395	0.02735069560768772	0.6355440060397541	0.6925485163317135	0.7102390350888562	0.727960272626437	0.7937065992368681
Pre-filtered	(0.02, 0.05]	215.0	0.7567038951353601	0.01854434009212267	0.7102766224799819	0.7449178013660311	0.7581755471171776	0.7696655240652508	0.8004560909158898
Pre-filtered	(0.05, 0.1]	215.0	0.7915548882765534	0.015478435981147	0.7546475094069466	0.7800041607527362	0.7910803793368237	0.8019799561820065	0.8381132530017472
Pre-filtered	(0.1, 0.15]	215.0	0.8326497573025281	0.013834178240833462	0.7964704112004235	0.822798555127759	0.8335591545459449	0.8422722087075054	0.866111504973924
Pre-filtered	(0.15, 0.2]	215.0	0.8472868525444898	0.013647285255902985	0.7990184620995812	0.839437608717867	0.848970768764522	0.8554248414216981	0.8852658250555621
Pre-filtered	(0.2, 0.25]	215.0	0.8575617020357	0.012952050013764982	0.8158996827235301	0.8499329027338962	0.8574576223049599	0.866348354983511	0.8867498464549627
Pre-filtered	(0.25, 0.3]	215.0	0.8559188857158775	0.013887345823452324	0.8049207370616779	0.8457521000382778	0.8565751530962153	0.865153974604367	0.8903452944490997
Pre-filtered	(0.3, 0.35]	215.0	0.873855690537014	0.013708074038022072	0.8162841914839013	0.86589080660515	0.8754879161851576	0.8817794723412263	0.9088471973185135
Pre-filtered	(0.35, 0.4]	215.0	0.8780147784562841	0.014416144629752521	0.8340426493424018	0.8676069965162447	0.8794809505063982	0.8883193872753004	0.9150084398316406
Pre-filtered	(0.4, 0.45]	215.0	0.883644519368353	0.014398265644439983	0.833668521853063	0.8762147691422273	0.8849793426875885	0.8929195723392047	0.9171592238558909
Pre-filtered	(0.45, 0.5]	215.0	0.8733879466013525	0.014340111245767805	0.8177152889538967	0.8649561597387416	0.8751666638141672	0.8838894042024266	0.9064871519672169
